date,WIRELESS,FTTB,FTTN,FTTP,SATELLITE,HFC,FTTC,NULL
2023-05-23,0,0,1456,2,0,0,428,0
2023-05-30,0,0,1456,2,0,0,428,0
2023-06-06,0,3019,34082,10617,8,0,2603,812
2023-06-13,0,3019,34082,10617,8,0,2603,812
2023-06-20,0,3019,34082,10617,8,0,2603,812
2023-06-27,0,3019,34082,10617,8,0,2603,812
2023-07-04,0,3019,36559,10666,8,0,2878,857
2023-07-11,1,10634,133771,70666,610,6,10907,5491
2023-07-18,1,10634,133771,70666,610,6,10907,5491
2023-07-25,1,10634,133771,70666,610,6,10907,5491
2023-08-01,1,10634,133771,70666,610,6,10907,5491
2023-08-08,1,10634,133621,70832,610,6,10897,5479
2023-08-15,1,10639,133467,71275,779,6,10662,5732
2023-08-22,1,10639,133436,71337,779,6,10659,5709
2023-08-29,1,10639,133324,71439,779,6,10651,5727
2023-09-05,1,10639,133310,71504,780,6,10646,5871
2023-09-12,1,10640,133225,71613,780,6,10625,5879
2023-09-19,1,10641,133652,71889,782,6,10809,5861
2023-09-26,1,10642,133642,72034,783,6,10807,5742
2023-10-03,1,10642,133181,72507,783,6,10791,5742
2023-10-10,1,10642,133164,72547,783,6,10779,5738
2023-10-17,1,10642,132988,72747,741,6,10764,5761
2023-10-24,1,10642,132988,72747,741,6,10764,5761
2023-10-31,1,10642,132902,72916,742,6,10751,5700
2023-11-07,1,10642,132664,73202,742,6,10734,5679
2023-11-14,1,10642,132632,73250,742,6,10720,5680
2023-11-21,1,10642,132582,73286,665,6,10719,5725
2023-11-28,1,10642,132527,73351,665,6,10706,5726
2023-12-05,1,10642,132398,73488,665,6,10694,5725
2023-12-12,1,10641,132203,73742,665,6,10688,5722
2023-12-19,1,10641,132203,73742,665,6,10688,5722
2023-12-26,1,10641,132165,73805,665,6,10672,5710
2024-01-02,1,10640,132164,73868,575,6,10671,5731
2024-01-09,1,10640,131815,74219,575,6,10663,5736
2024-01-16,1,10640,131815,74219,575,6,10663,5736
2024-01-23,1,10640,131815,74219,575,6,10663,5736
2024-01-30,1,10660,131779,74295,575,6,10625,5730
2024-02-06,1,10662,131779,74295,575,6,10623,5730
2024-02-13,1,10662,131462,74665,575,6,10598,5703
2024-02-20,1,10662,131462,74665,575,6,10598,5703
2024-02-27,1,10662,131462,74665,575,6,10598,5703
2024-03-05,1,10625,129760,74641,562,6,10284,4159
2024-03-12,0,10456,128833,72421,292,6,10324,1573
2024-03-19,0,10163,126923,72238,289,6,10235,1558
2024-03-26,0,10165,126902,72324,289,6,10214,1557
2024-04-02,0,10165,126913,71843,284,6,9940,2803
2024-04-16,0,10165,125599,73111,284,6,9921,2806
2024-04-30,0,10157,125229,73727,284,6,9883,2790
2024-05-07,0,10157,125125,73860,284,6,9864,2790
2024-05-14,0,10157,125125,73879,284,6,9861,2784
2024-05-20,0,10171,126724,72238,284,6,9888,2784
2024-05-21,0,10171,126724,72238,284,6,9888,2784
2024-05-28,0,10171,126724,72238,284,6,9888,2784
2024-06-04,0,10141,126680,72684,284,6,9699,2777
2024-06-11,0,10140,126533,72946,284,6,9645,2776
2024-06-18,0,10140,126533,72946,284,6,9645,2776
2024-07-02,0,10140,126212,73439,284,6,9603,2760
2024-07-09,0,10140,126117,73551,284,6,9586,2760
2024-07-16,0,10140,126089,73946,284,6,9228,2761
2024-07-23,0,10140,125972,74075,284,6,9215,2761
2024-07-30,0,10140,125935,74129,284,6,9204,2761
2024-08-06,0,10140,125559,74709,285,6,9190,2766
2024-08-13,0,10140,125559,74709,285,6,9190,2766
2024-08-20,0,10140,125502,74762,285,6,9180,2766
2024-08-27,0,10127,125496,74935,285,6,9190,2763
2024-09-03,0,10127,125269,75182,285,6,9170,2763
2024-09-10,0,10127,125231,75247,276,6,9150,2773
2025-05-13,0,10107,122674,78755,80,6,8615,5442
2025-05-20,0,10107,122674,78755,80,6,8615,5442
2025-05-27,0,10200,122577,78878,80,6,8599,5349
2025-06-03,0,10200,122516,79092,80,6,8594,5359
2025-06-10,0,9808,120462,77869,80,6,8570,5339
2025-06-17,0,9808,120462,77869,80,6,8570,5339
2025-06-24,0,9809,120424,77982,84,6,8522,5337
2025-07-01,0,11394,120575,78964,87,6,8516,5542
2025-07-08,0,11788,122146,80054,88,6,8481,5546
2025-07-15,0,11791,122108,80318,88,6,8297,5225
2025-07-22,0,11795,122117,80809,91,6,8153,5194
2025-07-29,0,11795,122117,80809,91,6,8153,5194
2025-08-05,0,11795,121956,81415,91,6,7720,5195
2025-08-12,0,11795,121956,81415,91,6,7720,5195
2025-08-19,0,11795,121956,81415,91,6,7720,5195
2025-08-26,0,11796,121857,82187,91,6,7048,5195
2025-09-02,0,11796,121820,82412,91,6,7008,5075
2025-09-09,0,11796,121662,82571,91,6,6975,5116
2025-09-16,0,11796,121662,82571,91,6,6975,5116
2025-09-23,0,11796,121662,82571,91,6,6975,5116
2025-09-30,0,11796,121662,82571,91,6,6975,5116
2025-10-07,0,11796,121662,82571,91,6,6975,5116
2025-10-14,0,11796,121662,82571,91,6,6975,5116
2025-10-21,0,11796,121662,82571,91,6,6975,5116
2025-10-28,0,11796,121662,82571,91,6,6975,5116
2025-11-04,0,11796,121662,82571,91,6,6975,5116
2025-11-07,0,11796,121662,82571,91,6,6975,5116
2025-11-11,0,11553,121130,82664,89,6,6478,5312
2025-11-18,0,11413,120713,83623,89,6,6424,5582
2025-11-25,0,11413,120713,83623,89,6,6424,5582
2025-12-02,0,11413,120444,83834,90,6,6340,5625
2025-12-09,0,11413,120444,83834,90,6,6340,5625
2025-12-16,0,11413,120360,83974,90,6,6308,5570
2025-12-23,0,11414,120382,84139,92,6,6277,5583
2025-12-30,0,11414,120382,84139,92,6,6277,5583
2026-01-06,0,11414,120382,84139,92,6,6277,5583
2026-01-13,0,11414,120382,84139,92,6,6277,5583
2026-01-20,0,11414,120382,84139,92,6,6277,5583
2026-01-27,0,11414,120382,84139,92,6,6277,5583
2026-02-03,0,11414,120382,84139,92,6,6277,5583
