date,WIRELESS,FTTB,FTTN,FTTP,SATELLITE,HFC,FTTC,NULL
2023-05-23,1331,4028,112835,25005,188,18088,5103,505
2023-05-30,4745,11849,254519,72870,1431,57410,12671,2161
2023-06-06,33009,82075,1040889,270456,9873,282825,112448,25560
2023-06-13,33009,82075,1040889,270456,9873,282825,112448,25560
2023-06-20,109684,128903,1156535,416438,75105,544901,281982,37311
2023-06-27,148878,199345,1208792,533631,111107,637804,382668,46163
2023-07-04,198573,238716,1279737,653783,151541,809683,490189,59911
2023-07-11,249050,281704,1343704,782141,190939,976500,602608,77332
2023-07-18,249050,281704,1343752,782531,190939,976500,602608,77324
2023-07-25,249050,281704,1343752,782531,190939,976500,602608,77324
2023-08-01,249089,281713,1344967,783435,190939,976486,602517,77407
2023-08-08,249316,282530,1347893,794239,191112,976733,602756,77425
2023-08-15,249089,282440,1347165,796615,191003,976692,601671,77280
2023-08-22,249109,281780,1345598,798538,190897,976618,601526,77013
2023-08-29,249169,281841,1345605,798789,190946,976638,601258,77153
2023-09-05,249657,281633,1345561,805694,191291,977311,601070,77485
2023-09-12,249660,281484,1344957,807140,191300,977503,601038,77609
2023-09-19,249853,281430,1344370,810175,191491,977917,601289,77670
2023-09-26,249898,281345,1315951,838640,191563,978029,600994,79522
2023-10-03,249906,281345,1315949,838661,191555,978029,600975,79521
2023-10-10,250908,281338,1316197,839049,190542,978020,600470,79503
2023-10-17,251262,281392,1312126,845503,190212,977909,600101,77536
2023-10-24,251262,281392,1312112,845532,190212,977909,600083,77536
2023-10-31,251226,281391,1311431,847501,190244,977861,599110,77292
2023-11-07,251221,281360,1304581,854670,190232,977895,598907,77171
2023-11-14,251210,281360,1304513,854991,190233,977904,598693,77113
2023-11-21,251190,281444,1302443,858107,190246,977958,597673,77002
2023-11-28,251188,281442,1302090,858527,190246,977959,597616,76994
2023-12-05,251180,281454,1300782,860331,190253,977947,596583,77558
2023-12-12,251170,281445,1292434,869401,190258,977989,596065,77401
2023-12-19,251089,281265,1291590,869364,190230,977989,595717,77538
2023-12-26,251067,281101,1289752,871984,190267,977962,595051,77458
2024-01-02,251007,281058,1288296,874092,190328,977964,594437,77438
2024-01-09,250960,281023,1282104,878203,190335,977789,594155,77560
2024-01-16,251041,281204,1282811,878262,190364,977788,594435,77420
2024-01-23,251041,281204,1282811,878262,190364,977788,594435,77420
2024-01-30,251706,281310,1282478,879932,189241,977729,593118,77546
2024-02-06,251818,281364,1279224,886011,189134,977842,592847,77336
2024-02-13,250606,281279,1277631,885890,188731,977455,591660,77234
2024-02-20,250606,281279,1277631,885890,188731,977455,591660,77234
2024-02-27,250606,281279,1277631,885890,188731,977455,591660,77234
2024-03-05,227957,277577,1254703,875474,159964,958768,574671,65803
2024-03-12,197011,269354,1204057,860340,118288,930824,553219,22274
2024-03-19,193988,267183,1175573,856442,117215,925683,549486,18442
2024-03-26,194325,267194,1174741,858712,117173,925772,549082,18453
2024-04-02,195395,267015,1170306,854285,116627,925028,545126,35102
2024-04-16,195617,266768,1151729,874750,116332,924079,544651,39271
2024-04-30,197242,266450,1136820,894377,114817,924226,542256,38939
2024-05-07,197077,264794,1135036,897018,114759,924200,541209,40905
2024-05-14,196635,264804,1131543,902030,114708,924179,540057,40875
