date,WIRELESS,FTTB,FTTN,FTTP,SATELLITE,HFC,FTTC,NULL
2023-05-23,0,0,0,0,0,0,0,0
2023-05-30,0,0,0,0,0,0,0,0
2023-06-06,0,0,0,0,0,0,0,0
2023-06-13,0,0,12089,123,404,1,0,83
2023-06-20,0,0,12089,123,404,1,0,83
2023-06-27,0,0,12089,123,404,1,0,83
2023-07-04,0,0,12089,123,404,1,0,83
2023-07-11,7069,2084,14183,67223,14339,50,12,2312
2023-07-18,7069,2084,14183,67223,14339,50,12,2312
2023-07-25,7069,2084,14183,67223,14339,50,12,2312
2023-08-01,7069,2084,14183,67223,14339,50,12,2312
2023-08-08,7069,2084,14107,67251,14323,50,12,2312
2023-08-15,7460,2084,14101,67864,14354,50,12,3209
2023-08-22,7460,2084,14131,67883,14364,50,12,3209
2023-08-29,7460,2084,14131,67883,14364,50,12,3209
2023-09-05,7517,2084,14138,67943,14676,50,12,3213
2023-09-12,7517,2084,14102,67990,14678,50,12,3215
2023-09-19,7517,2084,14102,67990,14678,50,12,3215
2023-09-26,7511,2083,14094,68086,14681,50,12,3127
2023-10-03,7511,2083,13747,68433,14681,50,12,3125
2023-10-10,7511,2083,13747,68433,14681,50,12,3125
2023-10-17,7512,2083,13700,68481,14679,50,12,3127
2023-10-24,7512,2083,13700,68481,14679,50,12,3127
2023-10-31,7512,2083,13701,68478,14687,50,12,3120
2023-11-07,7512,2083,13405,68781,14690,50,12,3115
2023-11-14,7512,2083,13405,68781,14690,50,12,3115
2023-11-21,7511,2083,13403,68769,14692,50,12,3113
2023-11-28,7511,2083,13358,68815,14692,50,12,3113
2023-12-05,7511,2083,13357,68817,14691,50,12,3113
2023-12-12,7511,2083,13114,69057,14690,50,11,3112
2023-12-19,7511,2083,13114,69057,14690,50,11,3112
2023-12-26,7511,2083,13114,69057,14690,50,11,3112
2024-01-02,7508,2083,13114,69065,14698,50,11,3109
2024-01-09,7508,2083,13060,69120,14698,50,11,3109
2024-01-16,7508,2083,13060,69120,14698,50,11,3109
2024-01-23,7508,2083,13060,69120,14698,50,11,3109
2024-01-30,7508,2083,13060,69120,14698,50,11,3109
2024-02-06,7490,2082,13060,69120,14669,50,11,3109
2024-02-13,7490,2082,12928,69252,14669,50,11,3109
2024-02-20,7490,2082,12928,69252,14669,50,11,3109
2024-02-27,7490,2082,12928,69252,14669,50,11,3109
2024-03-05,7490,2082,12928,69252,14669,50,11,3109
2024-03-12,5688,2020,12636,68153,8537,43,11,178
2024-03-19,5688,2020,12097,68238,8463,43,11,157
2024-03-26,5688,2020,12097,68238,8463,43,11,157
2024-04-02,5684,1994,12097,65942,8316,43,11,2593
2024-04-16,5684,1994,12004,66004,8316,43,11,2593
