date,WIRELESS,FTTB,FTTN,FTTP,SATELLITE,HFC,FTTC,NULL
2023-05-23,893,1444,36939,6456,195,7763,682,241
2023-05-30,893,1444,36939,6456,195,7763,682,241
2023-06-06,488,0,3944,2884,26,5152,3,192
2023-06-13,26794,54271,806176,220730,8025,262366,97001,30493
2023-06-20,26794,54271,806176,220730,8025,262366,97001,30493
2023-06-27,26794,54271,806176,220730,8025,262366,97001,30493
2023-07-04,26794,54271,806176,220730,8025,262366,97001,30493
2023-07-11,30264,54812,808572,229515,9656,271602,98939,30982
2023-07-18,236286,123023,994181,515979,169132,638157,257100,84767
2023-07-25,236286,123023,994181,515979,169132,638157,257100,84767
2023-08-01,236301,123023,994186,516012,169132,638157,257100,84769
2023-08-08,236215,123028,988523,522848,169123,638391,256445,84577
2023-08-15,235942,123068,988275,523417,169114,638377,256166,84000
2023-08-22,235678,123036,986415,526082,168963,637983,255778,83237
2023-08-29,235678,123036,986415,526082,168963,637983,255778,83237
2023-09-05,235989,123013,986584,527667,168706,638098,255726,83539
2023-09-12,236355,122732,964255,553812,168823,638049,255403,87148
2023-09-19,236387,122732,964258,553816,169169,638049,255405,87149
2023-09-26,236678,122737,963294,555973,169161,638023,255207,86227
2023-10-03,237077,122878,961653,559599,168784,638349,255140,84094
2023-10-10,237094,122878,961612,559688,168788,638365,255124,84094
2023-10-17,237360,122878,960973,560686,168507,638377,254919,83928
2023-10-24,238335,122850,952220,570202,167532,638471,254490,83618
2023-10-31,238726,122850,951224,570753,167171,638460,254360,84171
2023-11-07,240070,122849,946312,576176,165858,638455,253940,84164
2023-11-14,240076,122849,946287,576324,165871,638449,253849,84123
2023-11-21,240037,122847,946144,576736,165889,638461,253627,84087
2023-11-28,239982,122896,943807,580031,165904,638219,253191,83563
2023-12-05,239985,122896,943782,580059,165906,638219,253191,83563
2023-12-12,240250,122904,942724,581426,165691,638212,252989,83460
2023-12-19,239378,122225,935665,587630,164948,636163,251542,82600
2023-12-26,239378,122225,935665,587631,164958,636163,251542,82600
2024-01-02,239376,122225,934702,589041,164900,636201,251337,82414
2024-01-09,239335,122225,932212,591822,164805,636228,251138,82354
2024-01-16,240493,122910,929369,596550,165163,638561,251939,82886
2024-01-23,240493,122910,929369,596550,165163,638561,251939,82886
2024-01-30,240486,122910,928894,596987,165182,638583,251810,83057
2024-02-06,240399,122939,928845,597184,165254,638569,251653,83063
2024-02-13,222648,121347,915132,593921,142126,625207,240986,69416
2024-02-20,222293,121346,915128,593917,141459,624769,240984,69410
2024-02-27,222293,121346,915128,593917,141459,624769,240984,69410
2024-03-05,222277,121346,915044,593917,141058,624769,240984,69409
2024-03-12,200229,118455,896255,590061,119364,609937,231842,55931
2024-03-19,189177,115014,836076,580651,106091,590197,219292,41735
2024-03-26,189177,115014,836076,580651,106091,590197,219292,41735
2024-04-02,189797,114784,834024,577145,105174,589873,218815,50447
2024-04-16,188153,114577,813016,604743,104829,590173,218171,53101
2024-04-30,190618,114637,805290,616463,103915,590198,216156,51018
2024-05-07,190618,114637,805288,616464,103921,590198,216156,51018
2024-05-14,190525,114637,803979,618089,103743,590202,215945,51012
2024-05-20,189420,114668,838274,583649,105126,590252,215810,50951
2024-05-21,189420,114668,838274,583649,105128,590252,215810,50951
2024-05-28,189309,114669,838272,583874,105141,590254,215721,50927
2024-06-04,189278,114668,837221,585537,105092,590262,215260,50489
2024-06-11,189011,113847,833432,590952,105173,590112,214206,50054
2024-06-18,188795,113763,831500,594387,105150,590158,213597,49793
2024-07-02,189816,113748,826245,600726,104289,590201,213015,49276
2024-07-09,190144,113747,826238,600877,104038,590206,212944,49232
2024-07-16,190232,113745,825151,602701,104132,590217,212282,48057
2024-07-23,190471,113757,820954,608680,104227,589972,210741,47967
2024-07-30,190492,113757,820543,609157,104221,589974,210717,47966
2024-08-06,190640,113755,820259,609703,104197,589968,210513,47967
2024-08-13,190706,113758,815044,615309,104204,589977,210075,47955
2024-08-20,190706,113758,815044,615309,104204,589977,210075,47955
2024-08-27,190787,113760,814128,616776,104148,589987,209674,48049
2024-09-03,190941,113762,809598,622717,104037,589966,209195,48237
2024-09-10,190941,113762,809560,622758,103990,589967,209194,48284
2025-05-13,205185,113425,736836,717188,44885,589495,195435,112696
2025-05-20,205144,113429,730927,724119,44933,589503,194638,113826
2025-05-27,204930,113430,730918,724316,44960,589504,194497,114086
2025-06-03,205087,113432,729280,726578,44975,589497,193969,114058
2025-06-10,205333,113434,729052,727023,45113,589552,193853,114103
2025-06-17,206362,113557,724634,733880,45436,589550,193149,115246
2025-06-24,206362,113557,724629,733885,45436,589550,193149,115246
2025-07-01,208464,113871,723807,736587,46020,590121,192719,115761
2025-07-08,210005,114519,718398,748893,46402,591005,190265,116433
2025-07-15,210008,114519,718406,748903,46452,591005,190265,116461
2025-07-22,210572,114536,717347,765329,46515,591072,175699,116791
2025-07-29,210572,114536,717347,765329,46515,591072,175699,116791
2025-08-05,210645,114538,717343,767827,46527,591064,173243,116818
2025-08-12,211322,114540,711482,801367,46545,591142,145962,117172
2025-08-19,211506,114542,711463,803840,46575,591138,143650,117317
2025-08-26,211514,114542,711221,804446,46574,591156,143303,117322
2025-09-02,211659,114543,710022,807618,46587,591149,141422,117316
2025-09-09,211928,114534,708800,809536,46653,591151,140875,117458
2025-09-16,212139,114545,703969,816034,46652,591210,139617,117708
2025-09-23,212139,114545,703969,816034,46652,591210,139617,117708
2025-09-30,212139,114545,703969,816034,46652,591210,139617,117708
2025-10-07,212139,114545,703969,816034,46652,591210,139617,117708
2025-10-14,212139,114545,703969,816034,46652,591210,139617,117708
2025-10-21,212139,114545,703969,816034,46652,591210,139617,117708
2025-10-28,212139,114545,703969,816034,46652,591210,139617,117708
2025-11-04,212139,114545,703969,816034,46652,591210,139617,117708
2025-11-07,212139,114545,703969,816034,46652,591210,139617,117708
2025-11-11,212140,114545,703731,816543,46656,591234,139612,117709
2025-11-18,210810,114693,689170,839498,46759,591178,137124,118002
2025-11-25,210322,113743,678209,856578,46399,591220,135687,118628
2025-12-02,210507,113764,677150,858969,46461,591234,134463,118593
2025-12-09,210766,113727,672994,865124,46460,591270,132860,119041
2025-12-16,210759,113727,671562,866910,46488,591257,132730,119093
2025-12-23,211324,113705,664584,876224,46019,591303,131513,119168
2025-12-30,211414,113705,664371,876774,45984,591308,131260,119168
2026-01-06,211414,113705,664371,876774,45984,591308,131260,119168
2026-01-13,211414,113705,664371,876774,45984,591308,131260,119168
2026-01-20,211414,113705,664371,876774,45984,591308,131260,119168
2026-01-27,211414,113705,664371,876774,45984,591308,131260,119168
2026-02-03,211414,113705,664371,876774,45984,591308,131260,119168
2026-02-10,211414,113705,664371,876774,45984,591308,131260,119168
2026-02-17,211414,113705,664371,876774,45984,591308,131260,119168
2026-02-24,211414,113705,664371,876774,45984,591308,131260,119168
2026-03-03,211414,113705,664371,876774,45984,591308,131260,119168
2026-03-10,211414,113705,664371,876774,45984,591308,131260,119168
2026-03-17,211414,113705,664371,876774,45984,591308,131260,119168
2026-03-24,211414,113705,664371,876774,45984,591308,131260,119168
2026-03-31,211414,113705,664371,876774,45984,591308,131260,119168
2026-04-07,211414,113705,664371,876774,45984,591308,131260,119168
2026-04-14,211414,113705,664371,876774,45984,591308,131260,119168
2026-04-21,211414,113705,664371,876774,45984,591308,131260,119168
2026-04-28,211414,113705,664371,876774,45984,591308,131260,119168
2026-05-05,211414,113705,664371,876774,45984,591308,131260,119168
2026-05-12,211414,113705,664371,876774,45984,591308,131260,119168
2026-05-19,211414,113705,664371,876774,45984,591308,131260,119168
2026-05-26,211414,113705,664371,876774,45984,591308,131260,119168
2026-06-02,211414,113705,664371,876774,45984,591308,131260,119168
2026-06-09,211414,113705,664371,876774,45984,591308,131260,119168
2026-06-16,211414,113705,664371,876774,45984,591308,131260,119168
2026-06-23,211414,113705,664371,876774,45984,591308,131260,119168
2026-06-30,211414,113705,664371,876774,45984,591308,131260,119168
2026-07-07,211414,113705,664371,876774,45984,591308,131260,119168
2026-07-14,211414,113705,664371,876774,45984,591308,131260,119168
2026-07-21,211414,113705,664371,876774,45984,591308,131260,119168
2026-07-28,211414,113705,664371,876774,45984,591308,131260,119168
2026-08-04,211414,113705,664371,876774,45984,591308,131260,119168
2026-08-11,211414,113705,664371,876774,45984,591308,131260,119168
2026-08-18,211414,113705,664371,876774,45984,591308,131260,119168
2026-08-25,211414,113705,664371,876774,45984,591308,131260,119168
