date,WIRELESS,FTTB,FTTN,FTTP,SATELLITE,HFC,FTTC,NULL
2023-05-23,0,0,0,0,0,0,0,0
2023-05-30,0,0,0,0,0,0,0,0
2023-06-06,0,0,0,0,0,0,0,0
2023-06-13,2168,13201,263364,34001,375,47065,33296,5309
2023-06-20,2168,13201,263364,34001,375,47065,33296,5309
2023-06-27,2168,13201,263364,34001,375,47065,33296,5309
2023-07-04,2168,13201,263364,34001,375,47065,33296,5309
2023-07-11,2168,13201,263364,34001,375,47065,33296,5309
2023-07-18,15420,14684,345399,53319,4528,72969,50971,6447
2023-07-25,117952,18494,402612,154753,64957,234043,93464,12591
2023-08-01,117952,18494,402612,154753,64957,234043,93464,12591
2023-08-08,117958,18486,401586,156355,64951,234049,93216,12364
2023-08-15,117917,18485,401578,156428,64938,234050,93166,12341
2023-08-22,117929,18353,401393,156801,64940,234048,93120,12259
2023-08-29,117464,18353,401315,157093,64795,234031,93019,12082
2023-09-05,117509,18350,401178,157340,64794,234029,93005,12089
2023-09-12,117482,18468,393151,164861,64979,230433,92703,12304
2023-09-19,117122,18445,392979,164570,64748,228693,92414,12292
2023-09-26,117126,18445,392741,164877,64744,228695,92367,12267
2023-10-03,118382,18492,392407,167796,64977,234373,92774,11921
2023-10-10,118382,18492,392407,167796,64977,234373,92774,11921
2023-10-17,118392,18493,392398,167908,64962,234368,92733,11865
2023-10-24,118359,18493,390808,169988,64977,234241,92573,11702
2023-10-31,118363,18494,390714,170158,64977,234240,92517,11684
2023-11-07,118360,18493,389420,171519,64977,234229,92443,11633
2023-11-14,118372,18492,389356,171700,64963,234246,92342,11607
2023-11-21,118369,18492,389339,171768,64962,234245,92298,11605
2023-11-28,118358,18443,388714,172723,64973,234250,92215,11476
2023-12-05,118358,18443,388715,172889,64990,234251,92154,11374
2023-12-12,118360,18442,388648,172988,64989,234249,92114,11365
2023-12-19,118376,18439,387197,174608,65016,234221,91949,11364
2023-12-26,118376,18439,387197,174608,65016,234221,91949,11364
2024-01-02,118378,18439,386959,174944,65017,234223,91898,11328
2024-01-09,118378,18439,386959,174944,65017,234223,91898,11328
2024-01-16,118373,18488,385635,176712,64997,234251,91631,11175
2024-01-23,118373,18488,385635,176712,64997,234251,91631,11175
2024-01-30,118373,18488,385635,176712,64997,234251,91631,11175
2024-02-06,118369,18488,385592,176851,64996,234250,91540,11198
2024-02-13,117762,17714,368512,175778,64878,231922,88210,8761
2024-02-20,83551,17323,358427,169141,38585,222845,85035,4453
2024-02-27,83551,17323,358427,169141,38585,222845,85035,4453
2024-03-05,83551,17323,358355,169073,38585,222845,85035,4442
2024-03-12,81271,17310,350962,168929,38216,221871,83961,3992
2024-03-19,81511,17313,348941,172438,38144,221959,83768,4100
