date,WIRELESS,FTTB,FTTN,FTTP,SATELLITE,HFC,FTTC,NULL
2023-05-23,0,0,0,0,0,0,0,0
2023-05-30,0,0,0,0,0,0,0,0
2023-06-06,0,0,0,0,0,0,0,0
2023-06-13,2987,56,51578,13378,338,24,0,254
2023-06-20,2987,56,51578,13378,338,24,0,254
2023-06-27,2987,56,51578,13378,338,24,0,254
2023-07-04,2987,56,51578,13378,338,24,0,254
2023-07-11,2987,56,51578,13378,338,24,0,254
2023-07-18,2987,56,51578,13378,338,24,0,254
2023-07-25,55784,1191,110923,152132,23489,26,1,1016
2023-08-01,55784,1191,110923,152132,23489,26,1,1016
2023-08-08,55785,1191,110615,152516,23487,26,1,939
2023-08-15,55776,1191,110623,152539,23487,26,1,906
2023-08-22,55776,1191,110564,152616,23489,26,1,899
2023-08-29,55784,1192,110563,152734,23492,26,1,779
2023-09-05,55793,1192,110614,152880,23500,26,1,736
2023-09-12,55793,1192,110548,153164,23501,26,1,719
2023-09-19,54130,1159,109900,149301,22848,26,1,659
2023-09-26,54131,1159,109873,149334,22846,26,1,651
2023-10-03,55814,1192,108910,155765,23359,26,1,529
2023-10-10,55814,1192,108910,155765,23359,26,1,529
2023-10-17,55820,1192,108581,156144,23350,26,1,485
2023-10-24,55810,1192,108554,156181,23354,26,1,469
2023-10-31,55810,1192,108554,156181,23354,26,1,469
2023-11-07,55808,1192,108312,156345,23355,26,1,544
2023-11-14,55800,1192,108313,156346,23366,26,1,545
2023-11-21,55800,1192,108305,156348,23364,26,1,547
2023-11-28,55798,1192,108232,156421,23365,26,1,548
2023-12-05,55793,1192,108186,156481,23367,26,1,540
2023-12-12,55772,1192,107936,156728,23367,26,1,573
2023-12-19,55765,1192,107935,156715,23374,26,1,574
2023-12-26,55765,1192,107935,156715,23374,26,1,574
2024-01-02,55765,1192,107705,156946,23374,26,1,574
2024-01-09,55751,1192,107093,157347,23371,26,1,530
2024-01-16,55750,1192,107091,157355,23372,26,1,517
2024-01-23,55747,1192,107088,157362,23369,26,1,518
2024-01-30,55747,1192,107088,157362,23369,26,1,518
2024-02-06,55746,1192,106985,157466,23369,26,1,518
2024-02-13,55778,1192,106770,157917,23373,26,1,518
2024-02-20,45758,1044,104598,148410,16682,26,1,402
2024-02-27,45758,1044,104598,148410,16682,26,1,402
2024-03-05,45758,1044,104598,148410,16682,26,1,402
2024-03-12,45030,1032,100425,147689,16268,26,1,263
2024-03-19,44479,1032,95967,147264,16201,13,1,193
2024-03-26,44807,1033,95990,147450,15979,13,0,234
2024-04-02,44823,1033,95950,147588,15974,13,0,315
2024-04-16,44862,1029,94118,149569,15812,13,0,323
2024-04-30,44838,1029,93450,150262,15801,13,0,321
