date,WIRELESS,FTTB,FTTN,FTTP,SATELLITE,HFC,FTTC,NULL
2023-05-23,457,0,12094,1284,8,0,11,8
2023-05-30,457,0,12094,1284,8,0,11,8
2023-06-06,13150,4271,196466,67578,2428,39628,32240,14756
2023-06-13,32111,38107,740896,218395,8385,219729,139755,46536
2023-06-20,32111,38107,740896,218395,8385,219729,139755,46536
2023-06-27,32111,38107,740896,218395,8385,219729,139755,46536
2023-07-04,32111,38107,740896,218395,8385,219729,139755,46536
2023-07-11,32113,38107,740811,218479,8383,219729,139755,46535
2023-07-18,33045,38142,741432,224926,8442,219720,144605,50251
2023-07-25,116209,131171,893034,455138,41625,616558,339683,99784
2023-08-01,242618,176795,894663,684359,111525,913334,634568,154373
2023-08-08,242591,176698,889381,692005,111506,913333,634238,151834
2023-08-15,242664,176691,889273,693128,111538,913319,633624,152063
2023-08-22,242701,176681,888329,695331,111553,913372,633491,151845
2023-08-29,242495,176624,888319,697890,111535,913064,632284,151183
2023-09-05,242703,176861,888328,699346,111624,913289,632427,151894
2023-09-12,243197,176887,886935,702889,111705,913681,633051,153560
2023-09-19,243938,177007,886889,706757,112137,915086,632180,155578
2023-09-26,243933,176998,877812,716479,112129,915107,632051,155389
2023-10-03,244008,176998,852620,742641,112077,915074,631212,155260
2023-10-10,243903,176996,852576,745444,111647,914625,630353,154573
2023-10-17,243820,176981,846282,753039,111555,914592,629979,153788
2023-10-24,243807,176980,846281,753416,111543,914974,629672,153312
2023-10-31,243604,176928,845984,755125,111548,914968,628979,152869
2023-11-07,243510,176929,839606,763062,111532,914887,628503,152019
2023-11-14,243323,176908,839600,764846,111510,914697,627557,151468
2023-11-21,243258,176911,839223,764798,111508,914710,628021,151484
2023-11-28,243213,176912,837465,766962,111503,914682,627695,151500
2023-12-05,243110,176913,837456,769133,111414,914610,626426,150922
2023-12-12,243036,176965,826744,781103,111386,914566,625954,150295
2023-12-19,243036,176964,826744,781491,111375,914578,625740,150170
2023-12-26,242969,176917,826737,783228,111315,914620,624694,149468
2024-01-02,242970,176863,824654,785793,111332,914611,624531,149134
2024-01-09,242967,176866,811367,798599,111304,914365,624009,148901
2024-01-16,242967,176866,811367,798599,111304,914365,624009,148901
2024-01-23,242793,176850,811363,801588,110596,914390,622621,148315
2024-01-30,242795,176850,811257,801693,110595,914390,622621,148311
2024-02-06,243098,176795,810107,804007,110508,914388,622971,147125
2024-02-13,243189,176798,804038,811551,110432,914609,622803,146708
2024-02-20,230251,175693,803634,801127,100797,900243,612760,129840
2024-02-27,230251,175693,803634,801127,100797,900243,612760,129840
2024-03-05,190066,170737,802712,749221,70967,863256,553201,94024
2024-03-12,181374,164953,788352,748122,67533,859472,550289,63495
2024-03-19,172022,163786,731757,743256,63983,850902,539082,37356
2024-03-26,181977,165376,731999,792321,67071,875955,577499,35419
2024-04-02,182220,165407,728605,792881,66839,876069,573475,45160
2024-04-16,183522,165276,698974,832567,66076,876327,571002,46256
2024-04-30,183634,165179,690870,842423,65966,876358,570260,46222
2024-05-07,183811,165180,690851,844980,65865,876306,567901,46605
2024-05-14,183857,165171,688336,848137,65873,876311,567525,46446
2024-05-20,184211,165266,729533,806457,66546,876346,567435,46196
2024-05-21,184211,165266,729533,806457,66546,876346,567435,46196
2024-05-28,184129,165266,729528,810436,66601,876382,564360,45448
2024-06-04,184133,165266,729390,810607,66601,876382,564360,45450
2024-06-11,184149,163345,722417,820026,66565,876407,562895,44914
2024-06-18,184172,162555,722410,823025,66449,876384,558962,44722
2024-07-02,184486,162541,715744,831283,66191,876406,558116,44356
2024-07-09,185357,162504,715731,836057,65611,876315,554934,43969
2024-07-16,185388,162515,713903,838790,65614,876330,554215,43934
2024-07-23,185478,162519,710104,845135,65614,876327,552177,43693
2024-07-30,186090,162532,710097,847660,65554,876384,550566,43221
2024-08-06,186232,162532,706185,852697,65489,876407,550102,42917
2024-08-13,186290,162537,704831,855358,65492,876412,549232,42780
2024-08-20,186383,162535,704830,856337,65418,876411,548603,42800
2024-08-27,186420,162531,702374,859732,65406,876387,548231,42762
2024-09-03,186434,162532,699279,863777,65387,876405,547808,43262
2024-09-10,186466,162534,699275,867797,59383,876435,545613,51799
2025-05-13,210364,162089,619279,1000474,23100,876510,506866,122929
2025-05-20,210357,162093,617052,1003181,23102,876555,506728,123313
2025-05-27,208665,162019,617044,1006757,23176,876556,504019,130110
2025-06-03,207684,162007,614370,1009988,23182,876553,503612,131099
2025-06-10,206360,161939,608265,1015477,23192,875334,502542,132268
2025-06-17,206360,161939,608265,1015477,23192,875334,502542,132268
2025-06-24,204927,162025,608312,1020592,23199,875478,498601,134039
2025-07-01,204948,162626,605912,1024393,23208,875511,498202,134100
2025-07-08,205425,162669,597562,1039009,23109,876810,494996,135157
2025-07-15,208663,162814,597695,1075483,22623,877361,460961,134053
2025-07-22,208849,162984,596128,1087528,22557,877436,451051,133933
2025-07-29,208848,162984,595750,1090020,22558,877439,448944,133934
2025-08-05,208848,162984,593151,1104075,22555,877447,437571,133913
2025-08-12,208861,162994,589392,1120427,22552,877488,425493,133850
2025-08-19,208991,163024,589381,1164234,22549,877477,382811,133249
2025-08-26,208991,163024,589379,1164235,22549,877477,382811,133249
2025-09-02,209039,162853,587393,1168949,22555,877484,380309,133345
2025-09-09,209017,162849,580782,1178200,22554,877505,378495,133197
2025-09-16,209144,162849,580780,1174742,22588,877544,382148,133212
2025-09-23,209196,162847,580776,1166020,22587,877565,391220,133152
2025-09-30,209196,162847,580776,1166020,22587,877565,391220,133152
2025-10-07,209196,162847,580776,1166020,22587,877565,391220,133152
2025-10-14,209196,162847,580776,1166020,22587,877565,391220,133152
2025-10-21,209196,162847,580776,1166020,22587,877565,391220,133152
2025-10-28,209196,162847,580776,1166020,22587,877565,391220,133152
2025-11-04,209196,162847,580776,1166020,22587,877565,391220,133152
2025-11-07,208987,162888,580757,1160735,22603,877595,398008,133328
2025-11-11,209047,162947,580722,1165198,22604,877815,394976,133654
2025-11-18,208789,161444,556826,1197502,22627,878326,391628,135485
2025-11-25,209120,161378,556740,1209898,22777,878765,382608,136130
2025-12-02,209303,161201,552572,1217182,22779,878793,380283,136406
2025-12-09,209349,161199,551618,1218784,22780,878814,380041,136293
2025-12-16,209700,161192,551016,1223470,22765,878745,376315,136264
2025-12-23,209705,161086,545861,1230895,22759,878761,375056,136172
2025-12-30,210049,161094,545861,1233103,22738,878793,373344,135878
2026-01-06,210049,161094,545861,1233103,22738,878793,373344,135878
2026-01-13,210049,161094,545861,1233103,22738,878793,373344,135878
2026-01-20,210049,161094,545861,1233103,22738,878793,373344,135878
2026-01-27,210049,161094,545861,1233103,22738,878793,373344,135878
2026-02-03,210049,161094,545861,1233103,22738,878793,373344,135878
2026-02-10,210049,161094,545861,1233103,22738,878793,373344,135878
2026-02-17,210049,161094,545861,1233103,22738,878793,373344,135878
2026-02-24,210049,161094,545861,1233103,22738,878793,373344,135878
2026-03-03,210049,161094,545861,1233103,22738,878793,373344,135878
2026-03-10,210049,161094,545861,1233103,22738,878793,373344,135878
2026-03-17,210049,161094,545861,1233103,22738,878793,373344,135878
2026-03-24,210049,161094,545861,1233103,22738,878793,373344,135878
2026-03-31,210049,161094,545861,1233103,22738,878793,373344,135878
2026-04-07,210049,161094,545861,1233103,22738,878793,373344,135878
2026-04-14,210049,161094,545861,1233103,22738,878793,373344,135878
2026-04-21,210049,161094,545861,1233103,22738,878793,373344,135878
2026-04-28,210049,161094,545861,1233103,22738,878793,373344,135878
2026-05-05,210049,161094,545861,1233103,22738,878793,373344,135878
2026-05-12,210049,161094,545861,1233103,22738,878793,373344,135878
2026-05-19,210049,161094,545861,1233103,22738,878793,373344,135878
2026-05-26,210049,161094,545861,1233103,22738,878793,373344,135878
2026-06-02,210049,161094,545861,1233103,22738,878793,373344,135878
2026-06-09,210049,161094,545861,1233103,22738,878793,373344,135878
2026-06-16,210049,161094,545861,1233103,22738,878793,373344,135878
2026-06-23,210049,161094,545861,1233103,22738,878793,373344,135878
2026-06-30,210049,161094,545861,1233103,22738,878793,373344,135878
2026-07-07,210049,161094,545861,1233103,22738,878793,373344,135878
2026-07-14,210049,161094,545861,1233103,22738,878793,373344,135878
2026-07-21,210049,161094,545861,1233103,22738,878793,373344,135878
2026-07-28,210049,161094,545861,1233103,22738,878793,373344,135878
2026-08-04,210049,161094,545861,1233103,22738,878793,373344,135878
2026-08-11,210049,161094,545861,1233103,22738,878793,373344,135878
2026-08-18,210049,161094,545861,1233103,22738,878793,373344,135878
2026-08-25,210049,161094,545861,1233103,22738,878793,373344,135878
