date,WIRELESS,FTTB,FTTN,FTTP,SATELLITE,HFC,FTTC,NULL
2023-05-23,0,0,3516,43,0,0,1876,0
2023-05-30,0,0,3516,43,0,0,1876,0
2023-06-06,0,0,0,0,0,0,0,0
2023-06-13,2318,5510,218971,35722,530,26124,25217,11057
2023-06-20,4315,21084,613436,93042,1571,50675,80578,21235
2023-06-27,4315,21084,613436,93042,1571,50675,80578,21235
2023-07-04,4315,21084,613436,93042,1571,50675,80578,21235
2023-07-11,4315,21084,614015,93296,1577,54247,81213,21248
2023-07-18,4323,21334,615359,93513,1577,54247,81213,26978
2023-07-25,4323,21334,615359,93513,1577,54247,81213,26978
2023-08-01,59692,37127,779242,251205,76763,126000,106048,44988
2023-08-08,59684,37084,776753,254317,76762,125991,105533,44888
2023-08-15,59682,37084,776748,254397,76762,125991,105524,44818
2023-08-22,59688,37022,775988,255453,76766,125974,105419,44803
2023-08-29,60279,37165,778272,255926,77101,126669,105430,45044
2023-09-05,60284,37166,777716,256136,77106,126674,105417,45194
2023-09-12,60290,37162,765682,268702,77129,126599,105248,45903
2023-09-19,60207,37166,765554,269032,76968,126568,105247,46561
2023-09-26,60208,37166,765514,269158,76971,126567,105229,46486
2023-10-03,60229,37152,764376,270843,76951,126560,104972,46195
2023-10-10,60378,37152,764243,270966,76802,126561,104944,46223
2023-10-17,60395,37152,764173,270982,76771,126559,104784,46213
2023-10-24,60391,37153,760968,274519,76771,126564,104519,46129
2023-10-31,60391,37153,760874,274781,76785,126565,104399,46096
2023-11-07,60399,37152,760246,275451,76787,126559,104481,46081
2023-11-14,60394,37134,756408,279470,76775,126546,104249,46142
2023-11-21,60389,37135,756339,279544,76771,126548,104233,46157
2023-11-28,60377,37134,755021,281225,76772,126548,104040,46109
2023-12-05,60385,37117,754927,282329,76676,126573,104042,45153
2023-12-12,60389,37117,754799,282470,76677,126573,104031,45133
2023-12-19,60387,37116,748669,288690,76680,126580,103883,45196
2023-12-26,60282,37134,748654,288869,76699,126584,103848,45242
2024-01-02,60283,37134,748544,289059,76700,126583,103827,45204
2024-01-09,60283,37134,748544,289059,76700,126583,103827,45204
2024-01-16,60309,37135,741712,296227,76701,126582,103584,45096
2024-01-23,60301,37132,741590,296559,76586,126580,103562,44901
2024-01-30,60297,37132,741595,296566,76479,126572,103558,44903
2024-02-06,60295,37132,741495,296722,76468,126572,103537,44868
2024-02-13,59403,36397,705610,294683,75950,124904,98641,37125
2024-02-20,59403,36397,705610,294683,75950,124904,98641,37125
2024-02-27,59403,36397,705610,294683,75950,124904,98641,37125
2024-03-05,48036,36117,695536,284154,50049,121859,97264,30096
2024-03-12,46002,35793,687463,289151,49191,121530,96562,19001
2024-03-19,46051,35809,679828,299710,49153,121573,96151,18956
2024-03-26,47003,35814,680314,302196,49732,122397,96134,19176
2024-04-02,47045,35814,679037,296477,49724,122408,96106,26576
2024-04-16,44829,35812,675387,301508,49774,122291,95625,29007
2024-04-30,44926,35815,669851,307953,49768,122298,95427,28864
2024-05-07,47127,35815,669857,308298,49802,122302,95379,26584
2024-05-14,47132,35815,669719,308492,49802,122303,95348,26583
2024-05-20,46890,35824,677688,300595,50093,122316,95351,26540
2024-05-21,46890,35824,677402,301031,50093,122317,95304,26526
2024-05-28,46804,35815,676041,302839,50050,122318,95128,26431
2024-06-04,46804,35815,676041,302840,50050,122319,95128,26430
2024-06-11,46791,35815,675975,303097,50052,122315,95070,26408
2024-06-18,46792,35816,669816,310282,50050,122339,94581,26392
2024-07-02,46876,35818,668838,311587,50037,122350,94444,26417
2024-07-09,47230,35778,665003,315899,49711,122353,93890,26477
2024-07-16,47236,35777,664883,316190,49710,122353,93751,26465
2024-07-23,47244,35818,661191,320998,49705,122358,93080,26360
2024-07-30,47320,35819,661191,321143,49689,122371,93037,26353
2024-08-06,47323,35820,660989,321394,49687,122371,93018,26349
2024-08-13,47325,35819,656198,326849,49688,122372,92720,26257
2024-08-20,47357,35822,656191,327016,49609,122375,92675,26430
2024-08-27,47363,35822,656045,327260,49606,122373,92640,26437
2024-09-03,47367,35824,652290,331744,49601,122375,92268,26450
2024-09-10,47342,35825,652267,332077,23402,122381,92224,52739
2025-05-13,54797,35823,594815,403657,16668,122430,84389,63534
2025-05-20,54796,35823,589951,409435,16668,122436,83816,65219
2025-05-27,54818,35803,589914,409704,16689,122437,83725,65215
2025-06-03,54812,35803,589167,410794,16693,122440,83642,65218
2025-06-10,54812,35803,589167,410794,16693,122440,83642,65218
2025-06-17,54778,35807,583658,417604,16697,122446,82863,65267
2025-06-24,54788,35719,583668,418029,16810,122475,82729,65431
2025-07-01,54822,35720,582522,419644,16823,122474,82647,65568
2025-07-08,54824,35807,578682,426440,16826,122497,80821,65609
2025-07-15,54890,35842,578617,427397,16903,122522,80176,65652
2025-07-22,54891,35846,578089,429737,16907,122526,78540,65550
2025-07-29,54891,35846,578089,429737,16907,122526,78540,65550
2025-08-05,54891,35846,578089,429737,16907,122526,78540,65550
2025-08-12,54898,35839,570900,449090,16915,122530,66566,65556
2025-08-19,54923,35837,570893,451326,16931,122541,64406,65600
2025-08-26,54923,35837,570892,451326,16931,122541,64406,65601
2025-09-02,54933,35837,570469,451837,16930,122541,64345,65598
2025-09-09,54948,35837,570112,452431,16927,122541,64170,65549
2025-09-16,54962,35840,564219,459116,16926,122543,63280,65845
2025-09-23,54962,35840,564219,459116,16926,122543,63280,65845
2025-09-30,54962,35840,564219,459116,16926,122543,63280,65845
2025-10-07,54962,35840,564219,459116,16926,122543,63280,65845
2025-10-14,54962,35840,564219,459116,16926,122543,63280,65845
2025-10-21,54962,35840,564219,459116,16926,122543,63280,65845
2025-10-28,54962,35840,564219,459116,16926,122543,63280,65845
2025-11-04,54962,35840,564219,459116,16926,122543,63280,65845
2025-11-07,54962,35840,564219,459116,16926,122543,63280,65845
2025-11-11,54959,35848,563317,462319,17202,122580,63035,66836
2025-11-18,54919,35849,560905,466124,17227,122586,62914,67026
2025-11-25,54942,35711,546741,487083,17317,122591,61425,68908
2025-12-02,54978,35711,546099,487848,17319,122592,61334,68898
2025-12-09,54987,35757,541902,493422,17318,122597,60433,68850
2025-12-16,55041,35692,541206,494623,17365,122610,60311,69128
2025-12-23,55036,35692,538401,498203,17372,122617,60045,69220
2025-12-30,55078,35691,537271,499703,17380,122622,59856,69298
2026-01-06,55078,35691,537271,499703,17380,122622,59856,69298
2026-01-13,55078,35691,537271,499703,17380,122622,59856,69298
2026-01-20,55078,35691,537271,499703,17380,122622,59856,69298
2026-01-27,55078,35691,537271,499703,17380,122622,59856,69298
2026-02-03,55078,35691,537271,499703,17380,122622,59856,69298
2026-02-10,55078,35691,537271,499703,17380,122622,59856,69298
2026-02-17,55078,35691,537271,499703,17380,122622,59856,69298
2026-02-24,55078,35691,537271,499703,17380,122622,59856,69298
2026-03-03,55078,35691,537271,499703,17380,122622,59856,69298
2026-03-10,55078,35691,537271,499703,17380,122622,59856,69298
2026-03-17,55078,35691,537271,499703,17380,122622,59856,69298
2026-03-24,55078,35691,537271,499703,17380,122622,59856,69298
2026-03-31,55078,35691,537271,499703,17380,122622,59856,69298
2026-04-07,55078,35691,537271,499703,17380,122622,59856,69298
2026-04-14,55078,35691,537271,499703,17380,122622,59856,69298
2026-04-21,55078,35691,537271,499703,17380,122622,59856,69298
2026-04-28,55078,35691,537271,499703,17380,122622,59856,69298
2026-05-05,55078,35691,537271,499703,17380,122622,59856,69298
2026-05-12,55078,35691,537271,499703,17380,122622,59856,69298
2026-05-19,55078,35691,537271,499703,17380,122622,59856,69298
2026-05-26,55078,35691,537271,499703,17380,122622,59856,69298
2026-06-02,55078,35691,537271,499703,17380,122622,59856,69298
2026-06-09,55078,35691,537271,499703,17380,122622,59856,69298
2026-06-16,55078,35691,537271,499703,17380,122622,59856,69298
2026-06-23,55078,35691,537271,499703,17380,122622,59856,69298
2026-06-30,55078,35691,537271,499703,17380,122622,59856,69298
2026-07-07,55078,35691,537271,499703,17380,122622,59856,69298
2026-07-14,55078,35691,537271,499703,17380,122622,59856,69298
2026-07-21,55078,35691,537271,499703,17380,122622,59856,69298
2026-07-28,55078,35691,537271,499703,17380,122622,59856,69298
2026-08-04,55078,35691,537271,499703,17380,122622,59856,69298
2026-08-11,55078,35691,537271,499703,17380,122622,59856,69298
2026-08-18,55078,35691,537271,499703,17380,122622,59856,69298
2026-08-25,55078,35691,537271,499703,17380,122622,59856,69298
